en,zh-tw,description
.htaccess,.htaccess,Apache 網頁伺服器的組態檔
2-step authentication,兩步驟驗證,
abbreviation,縮寫,
Abidjan,阿必尚,洲、國家/地區、城市名稱
Abkhazian,亞布卡薩文,語言名稱，介面中稱文不稱語
absolute path,絕對路徑,
accent color,強調色彩,
access,存取,
access,存取權,
access control,存取控制,
accessibility ready,無障礙支援,
account,帳號,
Accra,阿克拉,洲、國家/地區、城市名稱
acronym,縮略字,
ACT,澳大利亞首都特區,洲、國家/地區、城市名稱
action,動作,
action,操作,
action hook,動作勾點,適用於程式開發
activate,啟用,
active,已啟用,
active,使用中,
Active Directory,Active Directory,
Adak,埃達克,洲、國家/地區、城市名稱
add,新增,
add translation,新增譯文,
Addis Ababa,阿迪斯阿貝巴,洲、國家/地區、城市名稱
addon,附加元件,
add-on,附加元件,
addon domain,附加網域,
Adelaide,阿得雷德,洲、國家/地區、城市名稱
Aden,亞頓,洲、國家/地區、城市名稱
admin bar,工具列,Admin Bar 是核心程式中的舊稱，新的同義字串是 Toolbar，即工具列，所以新舊版稱呼均一致性稱為「工具列」
admin panel,管理面板,
administrator,網站管理員,適用於 WordPress 預設使用者角色
Adobe,Adobe,
Adobe Fonts,Adobe Fonts,
Adobe Fonts,Adobe Fonts 網頁字型,
advanced settings,進階設定,
Afar,阿法文,語言名稱，介面中稱文不稱語
Afghan afghani,阿富汗阿富汗尼,貨幣名稱
Afrikaans,南非荷蘭文,語言名稱，介面中稱文不稱語
Akan,阿寒文,語言名稱，介面中稱文不稱語
Albanian,阿爾巴尼亞文,語言名稱，介面中稱文不稱語
Albanian lek,阿爾巴尼亞列克,貨幣名稱
Algerian dinar,阿爾及利亞第納爾,貨幣名稱
Algiers,阿爾及爾,洲、國家/地區、城市名稱
Almaty,阿馬提,洲、國家/地區、城市名稱
alphabet,字母,
alphanumeric,英數字元,
alphanumeric character,英數字元,
alt text,替代文字,
alternate text,替代文字,
alternate URL,替代網址,
America,美洲,洲、國家/地區、城市名稱
Amharic,阿姆哈拉文,語言名稱，介面中稱文不稱語
Amman,安曼,洲、國家/地區、城市名稱
Amsterdam,阿姆斯特丹,洲、國家/地區、城市名稱
Anadyr,阿納底,洲、國家/地區、城市名稱
anchor,錨點,
Anchorage,安克拉治,洲、國家/地區、城市名稱
Andorra,安道爾,洲、國家/地區、城市名稱
Android,Android,作業系統名稱
Angolan kwanza,安哥拉寬扎,貨幣名稱
Anguilla,安圭拉,洲、國家/地區、城市名稱
Antananarivo,安塔那那利佛,洲、國家/地區、城市名稱
Antarctica,南極洲,洲、國家/地區、城市名稱
Antigua,安地卡,洲、國家/地區、城市名稱
Apache,Apache,網頁伺服器名稱
Apia,亞庇,洲、國家/地區、城市名稱
Apple,Apple,
Apple Music,Apple Music,線上影音串流服務名稱
Application Pool,應用程式集區,適用於程式開發
apply,套用,
approve,核准,
Aqtau,阿克陶,洲、國家/地區、城市名稱
Aqtobe,阿克托比,洲、國家/地區、城市名稱
Arabic,阿拉伯文,語言名稱，介面中稱文不稱語
Aragonese,亞拉岡文,語言名稱，介面中稱文不稱語
Araguaina,阿拉瓜伊納,洲、國家/地區、城市名稱
archive,彙整,
archive,彙整頁面,
archive,壓縮檔,
Arctic,北極,洲、國家/地區、城市名稱
Are you sure,確定要繼續操作嗎,
area,區域,
Argentina,阿根廷,洲、國家/地區、城市名稱
Argentine peso,阿根廷披索,貨幣名稱
argument,引數,
Armenian,亞美尼亞文,語言名稱，介面中稱文不稱語
Armenian dram,亞美尼亞德拉姆,貨幣名稱
array,陣列,
arrow key,箭號,
arrow key,方向鍵,鍵盤按鍵名稱
Aruba,阿路巴,洲、國家/地區、城市名稱
Aruban florin,阿魯巴弗羅林,貨幣名稱
ascending,升冪,
Ashgabat,阿什哈巴德,洲、國家/地區、城市名稱
Ashkhabad,阿什哈巴德,洲、國家/地區、城市名稱
Asia,亞洲,洲、國家/地區、城市名稱
Asmara,阿斯馬拉,洲、國家/地區、城市名稱
Asmera,阿斯馬拉,洲、國家/地區、城市名稱
aspect ratio,外觀比例,
Assamese,阿薩姆文,語言名稱，介面中稱文不稱語
assemble,組譯,
asset file,資產檔案,
assign,指派,
Astrakhan,阿斯特拉罕,洲、國家/地區、城市名稱
Asuncion,亞松森,洲、國家/地區、城市名稱
Athens,雅典,洲、國家/地區、城市名稱
Atikokan,阿蒂科肯,洲、國家/地區、城市名稱
Atka,阿特卡,洲、國家/地區、城市名稱
Atlantic,大西洋,洲、國家/地區、城市名稱
attachment,附件,
attack,攻擊,
Atyrau,阿特勞,洲、國家/地區、城市名稱
Auckland,奧克蘭,洲、國家/地區、城市名稱
audio,音訊,
audit,稽核,
Australia,澳洲,洲、國家/地區、城市名稱
Australian dollar,澳元,貨幣名稱
authentication,驗證,
authentication code,驗證碼,
authenticator,驗證器,適用於不是產生兩步驟驗證碼的驗證程式
authenticator,驗證碼產生器,
authenticator app,驗證碼產生器 App,
author,開發者,有時候 author 也會指「開發者」
author,作者,適用於 WordPress 預設使用者角色
author,作者,適用於內容作者
automatic install,自動安裝,
automatic installation,自動安裝,
Automatically Install,自動安裝,
Automattic,Automattic,WordPress 的母公司
Avaric,阿瓦爾文,語言名稱，介面中稱文不稱語
avatar,個人頭像,
Avestan,阿維斯塔文,語言名稱，介面中稱文不稱語
Aymara,艾馬拉文,語言名稱，介面中稱文不稱語
Azerbaijani,亞塞拜然文,語言名稱，介面中稱文不稱語
Azerbaijani manat,亞塞拜然馬納特,貨幣名稱
Azores,亞述群島,洲、國家/地區、城市名稱
backend,後端,
back-end,後端,
background,背景,
background color,背景色彩,
background image,背景圖片,
background video,背景影片,
backlink,反向連結,
backup,備份,
badge,徽章,
badge,名牌,
badge,識別證,
Baghdad,巴格達,洲、國家/地區、城市名稱
Bahamian dollar,巴哈馬元,貨幣名稱
Bahia,巴伊亞,洲、國家/地區、城市名稱
Bahia Banderas,班德拉斯灣,洲、國家/地區、城市名稱
Bahrain,巴林,洲、國家/地區、城市名稱
Bahraini dinar,巴林戴納,貨幣名稱
Baku,巴庫,洲、國家/地區、城市名稱
Bamako,巴馬科,洲、國家/地區、城市名稱
Bambara,班巴拉文,語言名稱，介面中稱文不稱語
Bangkok,曼谷,洲、國家/地區、城市名稱
Bangladeshi taka,孟加拉塔卡,貨幣名稱
Bangui,班基,洲、國家/地區、城市名稱
Banjul,班竹,洲、國家/地區、城市名稱
Barbadian dollar,巴貝多元,貨幣名稱
Barbados,巴貝多,洲、國家/地區、城市名稱
Barnaul,巴爾瑙爾,洲、國家/地區、城市名稱
base,目錄起點,適用於網站網址結構相關內容
Bashkir,巴什喀爾文,語言名稱，介面中稱文不稱語
Basque,巴斯克文,語言名稱，介面中稱文不稱語
bbPress,bbPress,
bearer,持有人,
Beirut,貝魯特,洲、國家/地區、城市名稱
Belarusian,白羅斯文,語言名稱，介面中稱文不稱語
Belarusian ruble,白羅斯盧布,貨幣名稱
Belarusian ruble (old),白羅斯盧布 (舊幣),貨幣名稱
Belem,貝倫,洲、國家/地區、城市名稱
Belfast,貝爾發斯特,洲、國家/地區、城市名稱
Belgrade,貝爾格勒,洲、國家/地區、城市名稱
Belize,貝里斯,洲、國家/地區、城市名稱
Belize dollar,貝里斯元,貨幣名稱
benchmark,效能評定,
Bengali,孟加拉文,語言名稱，介面中稱文不稱語
Bengali (Bangladesh),孟加拉文 (孟加拉),語言名稱，介面中稱文不稱語
BeReal,BeReal,社交網路服務平台名稱
Berlin,柏林,洲、國家/地區、城市名稱
Bermuda,百慕達,洲、國家/地區、城市名稱
Bermudian dollar,百慕達元,貨幣名稱
Beulah,比尤拉,洲、國家/地區、城市名稱
Bhutanese ngultrum,不丹努爾特魯姆,貨幣名稱
Bihari,比哈文,語言名稱，介面中稱文不稱語
billing,帳單,
binary,二進位,
binary file,二進位檔案,
bind,繫結,
binding,繫結,
Bishkek,比斯凱克,洲、國家/地區、城市名稱
Bislama,比斯拉馬文,語言名稱，介面中稱文不稱語
Bissau,比索,洲、國家/地區、城市名稱
Bitbucket,Bitbucket,原始程式碼存放庫服務名稱
Bitcoin,比特幣,貨幣名稱
black list,封鎖清單,
blacklist,封鎖清單,
Blanc-Sablon,布郎薩布隆,洲、國家/地區、城市名稱
Blantyre,布藍泰爾,洲、國家/地區、城市名稱
block editor,區塊編輯器,適用於區塊編輯器及全站編輯相關內容
block pattern,區塊版面配置,適用於區塊編輯器及全站編輯相關內容
block type,區塊類型,適用於區塊編輯器及全站編輯相關內容
Blogger,Blogger,內容發佈平台名稱
Boa Vista,博阿維斯塔島,洲、國家/地區、城市名稱
Bogota,波哥大,洲、國家/地區、城市名稱
Boise,波夕,洲、國家/地區、城市名稱
bold,粗體,適用於字型相關內容
Bolivian boliviano,玻利維亞諾,貨幣名稱
bookmarklet,書籤小工具,
bootstrap,啟動程序,
Bootstrap,Bootstrap,網站開發架構
border,框線,
Bosnia and Herzegovina convertible mark,波士尼亞與赫塞哥維納可兌換馬克,貨幣名稱
Bosnian,波士尼亞文,語言名稱，介面中稱文不稱語
Botswana pula,波札那普拉,貨幣名稱
Bougainville,布干維爾島,洲、國家/地區、城市名稱
Bratislava,布拉提斯拉瓦,洲、國家/地區、城市名稱
