en,zh-tw,pos,description
.htaccess,.htaccess,noun,Apache 網頁伺服器的組態檔
2-step authentication,兩步驟驗證,noun,
abbreviation,縮寫,noun,
Abidjan,阿必尚,noun,洲、國家/地區、城市名稱
Abkhazian,亞布卡薩文,noun,語言名稱，介面中稱文不稱語
absolute path,絕對路徑,noun,
accent color,強調色彩,noun,
access,存取,verb,
access,存取權,noun,
access control,存取控制,noun,
accessibility ready,無障礙支援,noun,
account,帳號,noun,
Accra,阿克拉,noun,洲、國家/地區、城市名稱
acronym,縮略字,noun,
ACT,澳大利亞首都特區,noun,洲、國家/地區、城市名稱
action,動作,noun,
action,操作,verb,
action hook,動作勾點,noun,適用於程式開發
activate,啟用,noun,
active,已啟用,adjective,
active,使用中,adjective,
Active Directory,Active Directory,noun,
Adak,埃達克,noun,洲、國家/地區、城市名稱
add,新增,verb,
add translation,新增譯文,verb,
Addis Ababa,阿迪斯阿貝巴,noun,洲、國家/地區、城市名稱
addon,附加元件,noun,
add-on,附加元件,noun,
addon domain,附加網域,noun,
Adelaide,阿得雷德,noun,洲、國家/地區、城市名稱
Aden,亞頓,noun,洲、國家/地區、城市名稱
admin bar,工具列,noun,Admin Bar 是核心程式中的舊稱，新的同義字串是 Toolbar，即工具列，所以新舊版稱呼均統一稱為「工具列」
admin panel,管理面板,noun,
administrator,網站管理員,noun,適用於 WordPress 預設使用者角色
Adobe,Adobe,noun,
Adobe Fonts,Adobe Fonts,noun,
Adobe Fonts,Adobe Fonts 網頁字型,noun,
advanced settings,進階設定,noun,
Afar,阿法文,noun,語言名稱，介面中稱文不稱語
Afghan afghani,阿富汗阿富汗尼,noun,貨幣名稱
Afrikaans,南非荷蘭文,noun,語言名稱，介面中稱文不稱語
Akan,阿寒文,noun,語言名稱，介面中稱文不稱語
Albanian,阿爾巴尼亞文,noun,語言名稱，介面中稱文不稱語
Albanian lek,阿爾巴尼亞列克,noun,貨幣名稱
Algerian dinar,阿爾及利亞第納爾,noun,貨幣名稱
Algiers,阿爾及爾,noun,洲、國家/地區、城市名稱
Almaty,阿馬提,noun,洲、國家/地區、城市名稱
alphabet,字母,noun,
alphanumeric,英數字元,noun,
alphanumeric character,英數字元,noun,
alt text,替代文字,noun,
alternate text,替代文字,noun,
alternate URL,替代網址,noun,
America,美洲,noun,洲、國家/地區、城市名稱
Amharic,阿姆哈拉文,noun,語言名稱，介面中稱文不稱語
Amman,安曼,noun,洲、國家/地區、城市名稱
Amsterdam,阿姆斯特丹,noun,洲、國家/地區、城市名稱
Anadyr,阿納底,noun,洲、國家/地區、城市名稱
anchor,錨點,noun,
Anchorage,安克拉治,noun,洲、國家/地區、城市名稱
Andorra,安道爾,noun,洲、國家/地區、城市名稱
Android,Android,noun,作業系統名稱
Angolan kwanza,安哥拉寬扎,noun,貨幣名稱
Anguilla,安圭拉,noun,洲、國家/地區、城市名稱
Antananarivo,安塔那那利佛,noun,洲、國家/地區、城市名稱
Antarctica,南極洲,noun,洲、國家/地區、城市名稱
Antigua,安地卡,noun,洲、國家/地區、城市名稱
Apache,Apache,noun,網頁伺服器名稱
Apia,亞庇,noun,洲、國家/地區、城市名稱
Apple,Apple,noun,
Apple Music,Apple Music,noun,線上影音串流服務名稱
Application Pool,應用程式集區,noun,適用於程式開發
apply,套用,verb,
approve,核准,verb,
Aqtau,阿克陶,noun,洲、國家/地區、城市名稱
Aqtobe,阿克托比,noun,洲、國家/地區、城市名稱
Arabic,阿拉伯文,noun,語言名稱，介面中稱文不稱語
Aragonese,亞拉岡文,noun,語言名稱，介面中稱文不稱語
Araguaina,阿拉瓜伊納,noun,洲、國家/地區、城市名稱
archive,彙整,noun,
archive,彙整頁面,noun,
archive,壓縮檔,noun,
Arctic,北極,noun,洲、國家/地區、城市名稱
Are you sure,確定要繼續操作嗎,noun,
area,區域,noun,
Argentina,阿根廷,noun,洲、國家/地區、城市名稱
Argentine peso,阿根廷披索,noun,貨幣名稱
argument,引數,noun,
Armenian,亞美尼亞文,noun,語言名稱，介面中稱文不稱語
Armenian dram,亞美尼亞德拉姆,noun,貨幣名稱
array,陣列,noun,
arrow key,箭號,noun,
arrow key,方向鍵,noun,鍵盤按鍵名稱
Aruba,阿路巴,noun,洲、國家/地區、城市名稱
Aruban florin,阿魯巴弗羅林,noun,貨幣名稱
ascending,升冪,adjective,
Ashgabat,阿什哈巴德,noun,洲、國家/地區、城市名稱
Ashkhabad,阿什哈巴德,noun,洲、國家/地區、城市名稱
Asia,亞洲,noun,洲、國家/地區、城市名稱
Asmara,阿斯馬拉,noun,洲、國家/地區、城市名稱
Asmera,阿斯馬拉,noun,洲、國家/地區、城市名稱
aspect ratio,外觀比例,noun,
Assamese,阿薩姆文,noun,語言名稱，介面中稱文不稱語
assemble,組譯,verb,
asset file,資產檔案,noun,
assign,指派,verb,
Astrakhan,阿斯特拉罕,noun,洲、國家/地區、城市名稱
Asuncion,亞松森,noun,洲、國家/地區、城市名稱
Athens,雅典,noun,洲、國家/地區、城市名稱
Atikokan,阿蒂科肯,noun,洲、國家/地區、城市名稱
Atka,阿特卡,noun,洲、國家/地區、城市名稱
Atlantic,大西洋,noun,洲、國家/地區、城市名稱
attachment,附件,noun,
attack,攻擊,verb,
attack,攻擊,noun,
Atyrau,阿特勞,noun,洲、國家/地區、城市名稱
Auckland,奧克蘭,noun,洲、國家/地區、城市名稱
audio,音訊,noun,
audit,稽核,verb,
audit,稽核,noun,
Australia,澳洲,noun,洲、國家/地區、城市名稱
Australian dollar,澳元,noun,貨幣名稱
authentication,驗證,noun,
authentication code,驗證碼,noun,
authenticator,驗證器,noun,適用於不是產生兩步驟驗證碼的驗證程式
authenticator,驗證碼產生器,noun,
authenticator app,驗證碼產生器 App,noun,
author,開發者,noun,有時候 author 也會指「開發者」
author,作者,noun,適用於 WordPress 預設使用者角色
author,作者,noun,適用於內容作者
automatic install,自動安裝,verb,
automatic installation,自動安裝,noun,
Automatically Install,自動安裝,verb,
Automattic,Automattic,noun,WordPress 的母公司
Avaric,阿瓦爾文,noun,語言名稱，介面中稱文不稱語
avatar,個人頭像,verb,
Avestan,阿維斯塔文,noun,語言名稱，介面中稱文不稱語
Aymara,艾馬拉文,noun,語言名稱，介面中稱文不稱語
Azerbaijani,亞塞拜然文,noun,語言名稱，介面中稱文不稱語
Azerbaijani manat,亞塞拜然馬納特,noun,貨幣名稱
Azores,亞述群島,noun,洲、國家/地區、城市名稱
backend,後端,noun,
back-end,後端,noun,
background,背景,noun,
background color,背景色彩,noun,
background image,背景圖片,noun,
background video,背景影片,noun,
backlink,反向連結,noun,
backup,備份,verb,
backup,備份,noun,
badge,徽章,noun,
badge,名牌,noun,
badge,識別證,noun,
Baghdad,巴格達,noun,洲、國家/地區、城市名稱
Bahamian dollar,巴哈馬元,noun,貨幣名稱
Bahia,巴伊亞,noun,洲、國家/地區、城市名稱
Bahia Banderas,班德拉斯灣,noun,洲、國家/地區、城市名稱
Bahrain,巴林,noun,洲、國家/地區、城市名稱
